Country,Year,alpha-3,own_con,own_con2,rental_rate,gep_value
Senegal,2021,SEN,,25228510.42476701,0.315,7946980.783801608
Sierra Leone,2011,SLE,11210797.86217031,11210797.862170314,0.315,3531401.326583649
Sierra Leone,2012,SLE,,13459006.925282694,0.315,4239587.181464049
Sierra Leone,2013,SLE,,21170675.347793005,0.315,6668762.7345547965
Sierra Leone,2014,SLE,,24300285.946351405,0.315,7654590.073100693
Sierra Leone,2015,SLE,,19212070.43993169,0.315,6051802.188578483
Sierra Leone,2016,SLE,,10735396.408234743,0.315,3381649.8685939442
Sierra Leone,2017,SLE,,8607707.499599034,0.315,2711427.8623736957
Sierra Leone,2018,SLE,7278148.402107966,7278148.402107969,0.315,2292616.7466640105
Sierra Leone,2019,SLE,,4790244.750977408,0.315,1508927.0965578835
Sierra Leone,2020,SLE,,6686790.223953214,0.315,2106338.9205452623
Sierra Leone,2021,SLE,,11880835.335799595,0.315,3742463.1307768724
United Republic of Tanzania,2004,TZA,,3185092.160240531,0.315,1003304.0304757672
United Republic of Tanzania,2005,TZA,,13943482.448329091,0.315,4392196.971223664
United Republic of Tanzania,2006,TZA,,8983827.31400454,0.315,2829905.60391143
United Republic of Tanzania,2007,TZA,,27579144.71401465,0.315,8687430.584914615
United Republic of Tanzania,2008,TZA,,54830386.57364833,0.315,17271571.770699225
United Republic of Tanzania,2009,TZA,59005944.44072063,59005944.44062841,0.315,18586872.49879795
United Republic of Tanzania,2010,TZA,,66340878.25659329,0.315,20897376.650826886
United Republic of Tanzania,2011,TZA,77628193.604823,77628193.60473561,0.315,24452880.98549172
United Republic of Tanzania,2012,TZA,,81380776.53473467,0.315,25634944.60844142
United Republic of Tanzania,2013,TZA,99836946.20426697,99836946.20439269,0.315,31448638.054383695
United Republic of Tanzania,2014,TZA,,108745405.591586,0.315,34254802.76134959
United Republic of Tanzania,2015,TZA,88594921.14821094,88594921.148265,0.315,27907400.161703475
United Republic of Tanzania,2016,TZA,,94970970.27590978,0.315,29915855.636911582
United Republic of Tanzania,2017,TZA,,103604558.2650454,0.315,32635435.853489302
United Republic of Tanzania,2018,TZA,,107001346.86674088,0.315,33705424.26302338
United Republic of Tanzania,2019,TZA,,119216127.68270455,0.315,37553080.22005194
United Republic of Tanzania,2020,TZA,,127116495.42033903,0.315,40041696.0574068
United Republic of Tanzania,2021,TZA,,137060266.81120324,0.315,43173984.04552902
