Country,Year,alpha-3,own_con,own_con2,rental_rate,gep_value,CPI,CPI_2020,gep_value_2020
Ghana,2020,GHA,,85731096.40275699,0.315,27005295.36686845,100.0,100.0,27005295.36686845
Ghana,2021,GHA,,41702602.73356634,0.315,13136319.861073395,109.971088675,100.0,11945248.536999986
India,2004,IND,,4185830280.411886,0.267,1117616684.8699737,34.621589010118086,100.0,3228091826.0087733
India,2005,IND,3973986456.9319,3973986456.931899,0.267,1061054384.0008172,36.09174064619186,100.0,2939881438.2557964
India,2006,IND,,3709695897.4275694,0.267,990488804.6131612,38.18380682955367,100.0,2594002240.3594875
India,2007,IND,,2869026626.625368,0.267,766030109.3089733,40.61721553600535,100.0,1885973962.5182378
India,2008,IND,,2815832761.5778995,0.267,751827347.3412992,44.00845532897435,100.0,1708370225.0424364
India,2009,IND,,2882052714.702827,0.267,769508074.8256549,48.797610761315575,100.0,1576938015.653185
India,2010,IND,,1860946907.7705896,0.267,496872824.37474746,54.64814658713358,100.0,909221731.0289015
India,2011,IND,,1339256258.6706247,0.267,357581421.0650568,59.51827648878123,100.0,600792634.0616707
India,2012,IND,1477063109.8001657,1477063109.8001657,0.267,394375850.31664425,65.1600120804188,100.0,605242138.1228657
India,2013,IND,,1854170734.716892,0.267,495063586.16941017,71.68766290167247,100.0,690584078.3907887
India,2014,IND,,1583736635.304761,0.267,422857681.6263712,76.46611642057186,100.0,553000075.6159872
India,2015,IND,,1608823075.0253773,0.267,429555761.0317758,80.21828844469346,100.0,535483577.82269716
India,2016,IND,,1436085628.4675703,0.267,383434862.8008413,84.1876629019843,100.0,455452556.32913375
India,2017,IND,,781349817.998929,0.267,208620401.4057141,86.98957428372289,100.0,239822304.13645124
India,2018,IND,,832636462.9065552,0.267,222313935.59605023,90.41594265914078,100.0,245879132.65932748
India,2019,IND,,524952009.65850735,0.267,140162186.57882148,93.78801042596774,100.0,149445740.39072886
India,2020,IND,,711039683.3624115,0.267,189847595.45776388,100.0,100.0,189847595.45776388
Iraq,2004,IRQ,,1636739.370765644,0.498,815096.2066412907,35.55383658133656,100.0,2292568.9180592196
Iraq,2005,IRQ,,1770788.605718287,0.498,881852.7256477069,48.69435002894363,100.0,1810995.9884946384
Iraq,2006,IRQ,,1793977.8149639042,0.498,893400.9518520243,74.61482143211619,100.0,1197350.5192461414
Iraq,2007,IRQ,1922607.3937425336,1922607.3937425336,0.498,957458.4820837816,67.10297982085764,100.0,1426849.4255245794
Iraq,2008,IRQ,,1807267.022242504,0.498,900018.977076767,75.60013140011743,100.0,1190499.223226706
Iraq,2009,IRQ,,2025378.935223184,0.498,1008638.7097411456,80.79659372888824,100.0,1248367.8620482662
Iraq,2010,IRQ,,2197789.982460652,0.498,1094499.411265405,83.1217154854389,100.0,1316743.049482824
Iraq,2011,IRQ,,2526481.402463016,0.482,1217764.0359871737,87.94398471293624,100.0,1384704.184103276
Iraq,2012,IRQ,2620448.728737359,2620448.728737359,0.482,1263056.287251407,93.29897873417924,100.0,1353772.8969681612
Iraq,2013,IRQ,,2922281.044862846,0.482,1408539.4636238916,95.05253118003948,100.0,1481853.7140857088
Iraq,2014,IRQ,,2736692.709214801,0.482,1319085.885841534,97.17788113865856,100.0,1357393.1334841435
Iraq,2015,IRQ,,1995115.5669835864,0.482,961645.7032860888,98.53188998980012,100.0,975974.0763986531
Iraq,2016,IRQ,,1975939.8929292387,0.482,952403.028391893,99.08024104046186,100.0,961244.1576549615
Iraq,2017,IRQ,,1920306.353232348,0.482,925587.6622579916,99.26260704124748,100.0,932463.5830624255
Iraq,2018,IRQ,,1914866.8097488664,0.482,922965.8022989536,99.62733904258006,100.0,926418.2012373976
Iraq,2019,IRQ,,2416584.421322478,0.482,1164793.6910774345,99.4291151288701,100.0,1171481.5017389476
Iraq,2020,IRQ,,2682707.083055813,0.482,1293064.8140329018,100.0,100.0,1293064.8140329018
Iraq,2021,IRQ,,2256594.2419097256,0.482,1087678.4246004878,106.041864891,100.0,1025706.6166447639
Mali,2011,MLI,,6335535.447018385,0.315,1995693.6658107915,94.2796560159066,100.0,2116780.809503679
Mali,2014,MLI,4027224.995163539,4027224.995083779,0.315,1268575.8734513903,99.568092319365,100.0,1274078.717288696
Mali,2017,MLI,3820512.47615114,3820512.476160497,0.315,1203461.4299905566,100.94033283308744,100.0,1192250.3088835382
Mali,2018,MLI,,27127702.19545281,0.315,8545226.191567635,101.24269607424311,100.0,8440338.437156262
Mali,2019,MLI,19178493.57187905,19178493.571949333,0.315,6041225.47516404,99.56382190797986,100.0,6067691.415811196
Mali,2020,MLI,,22544412.58613518,0.315,7101489.964632581,100.0,100.0,7101489.964632581
Mali,2021,MLI,,40505429.430717975,0.315,12759210.270676162,103.925602831,100.0,12277254.038569033
Mongolia,2004,MNG,,3407890.9650840266,0.258,879235.8689916789,25.0073819517956,100.0,3515905.306227177
Mongolia,2005,MNG,,3205759.4232014487,0.258,827085.9311859738,28.18746253517186,100.0,2934233.367597205
Mongolia,2006,MNG,,2884527.785317842,0.258,744208.1686120032,29.62366071644332,100.0,2512208.6555592795
Mongolia,2007,MNG,,2630006.631685987,0.258,678541.7109749847,32.476704547728225,100.0,2089318.2372546147
Mongolia,2008,MNG,,2283771.5277177766,0.258,589213.0541511864,41.55578328062623,100.0,1417884.606270637
