Country,Year,Code,own_con,own_con2
Senegal,2008,,,13087471.495407023
Senegal,2009,,,12210209.64319877
Senegal,2010,,,12084064.352176733
Senegal,2011,SEN,10408499.6193,10408499.619299999
Senegal,2012,,,11223472.054130416
Senegal,2013,,,11094257.641888002
Senegal,2014,,,12592272.286314892
Senegal,2015,,,13212944.18367226
Senegal,2016,,,13057456.952353504
Senegal,2017,,,16492925.9539923
Senegal,2018,,,20088964.78538312
Senegal,2019,SEN,20107532.83699389,20107532.836993895
Senegal,2020,,,23824945.0983127
Senegal,2021,,,25228510.42476701
Sierra Leone,2011,SLE,11210797.86217031,11210797.862170314
Sierra Leone,2012,,,13459006.925282694
Sierra Leone,2013,,,21170675.347793005
Sierra Leone,2014,,,24300285.946351405
Sierra Leone,2015,,,19212070.439931694
Sierra Leone,2016,,,10735396.408234743
Sierra Leone,2017,,,8607707.499599034
Sierra Leone,2018,SLE,7278148.402107966,7278148.402107969
Sierra Leone,2019,,,4790244.750977408
Sierra Leone,2020,,,6686790.223953214
Sierra Leone,2021,,,11880835.335799595
United Republic of Tanzania,2004,,,3185092.160240531
United Republic of Tanzania,2005,,,13943482.448329091
United Republic of Tanzania,2006,,,8983827.31400454
United Republic of Tanzania,2007,,,27579144.71401465
United Republic of Tanzania,2008,,,54830386.57364833
United Republic of Tanzania,2009,TZA,59005944.44072063,59005944.44062841
United Republic of Tanzania,2010,,,66340878.25659329
United Republic of Tanzania,2011,TZA,77628193.604823,77628193.60473561
United Republic of Tanzania,2012,,,81380776.53473467
United Republic of Tanzania,2013,TZA,99836946.20426697,99836946.20439267
United Republic of Tanzania,2014,,,108745405.591586
United Republic of Tanzania,2015,TZA,88594921.14821094,88594921.148265
United Republic of Tanzania,2016,,,94970970.27590978
United Republic of Tanzania,2017,,,103604558.2650454
United Republic of Tanzania,2018,,,107001346.86674088
United Republic of Tanzania,2019,,,119216127.68270457
United Republic of Tanzania,2020,,,127116495.42033905
United Republic of Tanzania,2021,,,137060266.81120324
