Country;Indicator Name;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
China;GDP per capita (current US$);1508.667946;1753.414263;2099.219342;2693.958555;3468.327063;3832.227428;4550.473924;5614.385739;6300.582352;7020.385682;7636.074223;8016.446016;8094.390375;8817.045496;9905.406118;10143.86021;10408.71912;12617.50499
Colombia;GDP per capita (current US$);2811.45945;3448.538274;3782.603504;4762.082973;5534.689447;5245.951665;6392.758026;7392.9436;8096.80151;8263.641929;8167.472842;6228.651622;5936.261022;6449.970987;6782.03792;6436.509215;5304.289129;6182.707099
Comoros;GDP per capita (current US$);1090.427168;1103.195417;1155.085676;1289.79485;1454.650909;1409.106673;1384.063284;1526.832638;1483.951559;1595.989819;1608.687875;1322.936775;1357.266229;1414.586689;1531.337811;1510.797323;1519.58678;1577.470841
Congo, Dem. Rep.;GDP per capita (current US$);187.856781;211.5726295;247.5419356;277.6120796;317.8892099;290.1556749;324.827726;376.3749811;412.7762607;444.8643574;472.266236;482.0645685;456.0279505;451.0890886;546.2125933;575.8827813;524.6666863;577.2092152
Congo, Rep.;GDP per capita (current US$);1314.41128;1810.588944;2116.868944;2219.912305;2848.65316;2283.949871;2962.76248;3415.062376;3753.860925;3719.651037;3622.530074;2347.818507;1970.250199;2088.500299;2512.384167;2288.808086;1838.448124;2290.382994
Costa Rica;GDP per capita (current US$);4376.080428;4643.45857;5188.361792;6055.086779;6841.91146;6737.860754;8147.243985;9137.455102;9971.651656;10633.26656;10737.67888;11529.95517;11899.81398;12118.13362;12383.14995;12669.34116;12179.25667;12537.25675
Côte d'Ivoire;GDP per capita (current US$);1267.764823;1267.087311;1303.564967;1451.232531;1683.337505;1638.804684;1654.177959;1701.704641;1649.301615;1903.054229;2124.01943;1941.581898;1999.195372;2113.341525;2295.540335;2290.787379;2349.069882;2613.378893
Croatia;GDP per capita (current US$);9723.381024;10446.36044;11489.39127;13728.52101;15857.71225;14387.65664;13664.20884;14623.99053;13410.82081;13949.12177;13970.98323;12071.09096;12550.70886;13562.14405;15003.14068;15086.21174;14236.53525;17747.78929
Cuba;GDP per capita (current US$);3403.296163;3791.873006;4336.87333;4814.854876;4992.824494;5094.437562;5275.532601;6106.006792;6467.337914;6814.243844;7117.52691;7683.757891;8055.889907;8543.360968;8831.907222;9139.415856;9499.590202;
Cyprus;GDP per capita (current US$);23792.62109;24959.25977;26729.32422;31244.92578;35397.36328;32109.24219;31105.02734;32485.80273;28991.92969;27797.45313;27244.34375;23487.21875;24715.14258;26697.00586;29419.88672;29417.92188;28035.98438;31552.03516
Czech Republic;GDP per capita (current US$);11749.87552;13430.66055;15261.80885;18466.57826;22804.6222;19861.69743;19960.06849;21871.26608;19870.80121;20133.16914;19890.91991;17829.69832;18575.23203;20636.19995;23424.48046;23664.84786;22992.87938;26822.51419
Denmark;GDP per capita (current US$);46511.93475;48799.74423;52027.18907;58487.04601;64321.67448;58163.63853;58041.39844;61753.64713;58507.50805;61191.1937;62548.98473;53254.85637;54663.99837;57610.09818;61591.92887;59592.98069;60915.4244;68007.75667
Djibouti;GDP per capita (current US$);813.8979436;852.8901883;907.8179438;980.0310324;1131.635726;1164.251683;1227.820853;1322.726251;1418.460858;2102.197948;2239.114538;2409.311902;2545.738799;2655.73322;2755.838293;2876.043664;2917.996281;3050.306282
Dominica;GDP per capita (current US$);5354.799195;5304.126097;5677.051175;6126.849496;6661.465047;7109.978253;7182.400203;7288.497948;7054.875977;7240.679119;7498.917522;7724.042411;8223.04145;7408.091301;7833.195013;8561.587011;7003.469891;7668.158132
Dominican Republic;GDP per capita (current US$);2468.436815;3903.815184;4080.045714;4676.079111;5053.330291;5002.153233;5509.568054;5859.381545;6049.471611;6171.295064;6533.670968;6838.936735;7191.069713;7513.497951;7947.159354;8173.344646;7167.914932;8476.749688
East Timor;GDP per capita (current US$);465.9299421;476.9188074;456.2854678;532.4854173;621.7118407;682.172795;810.1416095;936.5983633;1019.964911;1201.423609;1221.534229;1322.300887;1347.926361;1283.525882;1239.366087;1584.263822;1660.308309;2741.393945
Ecuador;GDP per capita (current US$);2703.565671;3014.310009;3340.840903;3579.032244;4260.433184;4240.702593;4640.246344;5202.656459;5678.455721;6050.354611;6374.631486;6130.586676;6079.088736;6246.404252;6321.349401;6233.258167;5645.19929;5965.132871
Egypt, Arab Rep.;GDP per capita (current US$);1016.253884;1133.105461;1332.33941;1586.472921;1941.899973;2212.218148;2509.772034;2645.622535;3059.135428;3088.890834;3196.861381;3370.382447;3331.612461;2439.967284;2531.200079;3017.258336;3571.556907;3886.722498
El Salvador;GDP per capita (current US$);2273.955503;2434.323531;2651.430888;2814.589889;2964.17214;2889.685887;3017.307395;3304.974183;3471.051269;3555.1621;3638.517658;3761.51368;3870.312982;3986.049014;4145.862351;4280.288404;3961.726633;4664.311223
Eritrea;GDP per capita (current US$);401.3745252;387.8985404;420.5287398;450.4097137;459.1784027;602.0632238;504.9724602;643.7900423;;;;;;;;;;
Estonia;GDP per capita (current US$);8914.103557;10412.64431;12639.40007;16744.58445;18204.96648;14711.73527;14663.04461;17487.80478;17403.20533;19056.00192;20261.06673;17402.03761;18295.34293;20437.76538;23165.84948;23424.48471;23595.24368;27943.70122
Eswatini;GDP per capita (current US$);2599.15215;2964.972331;3053.932496;3200.512571;3022.456056;3270.1377;4035.534502;4360.959888;4396.57932;4111.128353;3928.522911;3583.31129;3339.990427;3824.046783;4021.445556;3818.540425;3372.904639;3982.905229
